blueWins,blueFirstBlood,blueTotalExperience,blueGoldDiff,blueExperienceDiff,blueCSDiff,blueKills,blueAssists,redKills,redTotalExperience,redAssists,blueCSPerMin,redCSPerMin,blueGoldPerMin,redGoldPerMin,blueAvgPickrate,redAvgPickrate,bluePredWinrate,redPredWinrate
1,0.0,18870.0,-1268.0,-931.0,-6.0,4.0,9.0,6.0,19801.0,13.0,30.4,31.0,1588.5,1715.3,0.10637835225899976,0.1145928968349843,0.4871194893171828,0.4576568246491292
1,1.0,18477.0,517.0,704.0,-11.0,2.0,5.0,0.0,17773.0,0.0,31.2,32.3,1549.7,1498.0,0.12940323749697993,0.1368204880405895,0.4905793136753423,0.4832246101290349
0,1.0,18190.0,223.0,-166.0,-37.0,4.0,4.0,3.0,18356.0,4.0,29.0,32.7,1630.3,1608.0,0.07368929693162599,0.06873640976081179,0.4976521521378657,0.4809493691286999
0,1.0,17861.0,712.0,-467.0,11.0,4.0,4.0,3.0,18328.0,3.0,29.8,28.7,1584.1,1512.9,0.13979222034307806,0.0407586373520174,0.4944237750419365,0.5411569051423718
0,1.0,17087.0,-1023.0,-2029.0,-23.0,1.0,1.0,2.0,19116.0,5.0,27.8,30.1,1442.2,1544.5,0.1463155351534187,0.09922686639284853,0.485563201797019,0.4873590053661828
0,0.0,17399.0,776.0,122.0,-12.0,6.0,10.0,4.0,17277.0,6.0,27.9,29.1,1647.6,1570.0,0.13208504469678667,0.09620681323991302,0.4989327101246578,0.5061727979341659
1,1.0,19031.0,301.0,412.0,-28.0,4.0,6.0,2.0,18619.0,3.0,28.7,31.5,1571.1,1541.0,0.09869533703793183,0.1076588547958444,0.4836180645399268,0.5036536747032099
0,0.0,16710.0,-2689.0,-2474.0,-54.0,1.0,3.0,4.0,19184.0,4.0,27.9,33.3,1407.4,1676.3,0.0981879681082387,0.13595071273254408,0.4758823198697223,0.4897062429651939
0,1.0,17539.0,634.0,-65.0,4.0,1.0,1.0,0.0,17604.0,0.0,30.7,30.3,1482.3,1418.9,0.09395989369412902,0.12314568736409763,0.4719267464749706,0.4930095267020452
1,1.0,17974.0,337.0,444.0,-11.0,5.0,9.0,4.0,17530.0,7.0,29.2,30.3,1638.1,1604.4,0.23109446726262384,0.15762261415800918,0.5066785294386105,0.4996822418769992
1,0.0,19262.0,1456.0,2737.0,39.0,8.0,9.0,6.0,16525.0,8.0,29.3,25.4,1786.7,1641.1,0.18371587339937184,0.12568253201256346,0.4900032836679985,0.5156234618411071
1,1.0,19623.0,3851.0,2032.0,74.0,6.0,8.0,3.0,17591.0,4.0,34.4,27.0,1854.3,1469.2,0.2025851654989128,0.1324716115003624,0.4976770382333728,0.4878118800177169
0,0.0,18675.0,-998.0,-84.0,2.0,1.0,2.0,3.0,18759.0,10.0,31.7,31.5,1508.6,1608.4,0.2517274704034791,0.14460014496255133,0.5088639590375877,0.4784967744198771
0,1.0,18595.0,568.0,-164.0,-20.0,3.0,2.0,1.0,18759.0,1.0,30.8,32.8,1587.8,1531.0,0.17161150036240638,0.1544575984537328,0.49721137452270797,0.5109431740165491
1,0.0,18645.0,-479.0,569.0,40.0,2.0,3.0,5.0,18076.0,8.0,31.9,27.9,1531.8,1579.7,0.1288958685672868,0.200797294032375,0.494646347924264,0.4971374260780121
