gameId,blueChampions,blueWins,blueFirstBlood,blueFirstBloodAssist,blueTotalGold,blueTotalExperience,blueTotalCS,blueGoldDiff,blueExperienceDiff,blueCsdiffat10,blueKills,blueAssists,blueDeaths,redChampions,redFirstBloodAssist,redTotalGold,redTotalExperience,redTotalCS,redAssists
ESPORTSTMNT03/1991792,"[('Nocturne', 'top'), ('Volibear', 'jng'), ('LeBlanc', 'mid'), ('Kalista', 'bot'), ('Nautilus', 'sup')]",1,1.0,0.0,16264.0,18321.0,328.0,2630.0,1233.0,40.0,2.0,2.0,0.0,"[('Karma', 'top'), ('Hecarim', 'jng'), ('Galio', 'mid'), ('Ezreal', 'bot'), ('Leona', 'sup')]",0.0,13634.0,17088.0,288.0,0.0
ESPORTSTMNT06/1840649,"[('Sett', 'top'), ('Rumble', 'jng'), ('Viego', 'mid'), ('Jinx', 'bot'), ('Nautilus', 'sup')]",1,1.0,0.0,17366.0,18689.0,312.0,3121.0,1648.0,43.0,5.0,7.0,0.0,"[('Gragas', 'top'), ('Xin Zhao', 'jng'), ('Karma', 'mid'), ('Draven', 'bot'), ('Janna', 'sup')]",0.0,14245.0,17041.0,269.0,0.0
EUW1/5329255821,"[('Irelia', 'top'), ('Volibear', 'jng'), ('Gwen', 'mid'), ('Varus', 'bot'), ('Sett', 'sup')]",0,1.0,0.0,17152.0,18237.0,307.0,1309.0,-175.0,19.0,5.0,9.0,4.0,"[('Aatrox', 'top'), ('Xin Zhao', 'jng'), ('Akali', 'mid'), ('Seraphine', 'bot'), ('Taric', 'sup')]",0.0,15843.0,18412.0,288.0,11.0
ESPORTSTMNT03/2001895,"[('Akali', 'top'), ('Jarvan IV', 'jng'), ('Lee Sin', 'mid'), ('Ezreal', 'bot'), ('Nautilus', 'sup')]",0,0.0,0.0,15013.0,17930.0,333.0,-1412.0,-1516.0,18.0,0.0,0.0,3.0,"[('Aatrox', 'top'), ('Olaf', 'jng'), ('Twisted Fate', 'mid'), ('Senna', 'bot'), ('Tahm Kench', 'sup')]",0.0,16425.0,19446.0,315.0,5.0
ESPORTSTMNT03/1991845,"[('Nocturne', 'top'), ('Diana', 'jng'), ('Lee Sin', 'mid'), ('Lucian', 'bot'), ('Nautilus', 'sup')]",1,1.0,0.0,15173.0,18027.0,320.0,-217.0,-1305.0,-31.0,1.0,2.0,0.0,"[('Karma', 'top'), ('Rumble', 'jng'), ('Darius', 'mid'), (""Kai'Sa"", 'bot'), ('Braum', 'sup')]",0.0,15390.0,19332.0,351.0,0.0
ESPORTSTMNT06/1840656,"[('Lee Sin', 'top'), ('Xin Zhao', 'jng'), ('Ziggs', 'mid'), ('Jinx', 'bot'), ('Thresh', 'sup')]",0,0.0,0.0,14126.0,17914.0,309.0,-1864.0,-854.0,-26.0,0.0,0.0,2.0,"[('Jayce', 'top'), ('Volibear', 'jng'), ('Seraphine', 'mid'), ('Varus', 'bot'), ('Blitzcrank', 'sup')]",0.0,15990.0,18768.0,335.0,4.0
EUW1/5328926881,"[('Pantheon', 'top'), ('Diana', 'jng'), ('Sylas', 'mid'), ('Sivir', 'bot'), ('Karma', 'sup')]",0,1.0,0.0,16028.0,18796.0,283.0,-228.0,-455.0,-16.0,4.0,2.0,5.0,"[('Aatrox', 'top'), ('Rumble', 'jng'), ('Yone', 'mid'), ('Ezreal', 'bot'), ('Leona', 'sup')]",0.0,16256.0,19251.0,299.0,5.0
ESPORTSTMNT03/2001928,"[('Gwen', 'top'), ('Hecarim', 'jng'), ('Sylas', 'mid'), (""Kai'Sa"", 'bot'), ('Nautilus', 'sup')]",0,0.0,0.0,15552.0,17702.0,289.0,-2172.0,-1233.0,-41.0,3.0,3.0,4.0,"[('Sett', 'top'), ('Rumble', 'jng'), ('Ezreal', 'mid'), ('Varus', 'bot'), ('Alistar', 'sup')]",0.0,17724.0,18935.0,330.0,2.0
ESPORTSTMNT03/1991890,"[('Wukong', 'top'), ('Nocturne', 'jng'), ('Viktor', 'mid'), ('Varus', 'bot'), ('Thresh', 'sup')]",1,0.0,0.0,16741.0,18886.0,327.0,2262.0,1536.0,54.0,4.0,8.0,1.0,"[('Malphite', 'top'), ('Hecarim', 'jng'), ('Sylas', 'mid'), ('Ezreal', 'bot'), ('Karma', 'sup')]",0.0,14479.0,17350.0,273.0,1.0
ESPORTSTMNT06/1840659,"[('Lee Sin', 'top'), ('Morgana', 'jng'), ('Ziggs', 'mid'), ('Ezreal', 'bot'), ('Nautilus', 'sup')]",1,1.0,0.0,16086.0,18800.0,342.0,292.0,84.0,-1.0,2.0,4.0,1.0,"[('Gwen', 'top'), ('Olaf', 'jng'), ('Twisted Fate', 'mid'), (""Kai'Sa"", 'bot'), ('Thresh', 'sup')]",0.0,15794.0,18716.0,343.0,2.0
